Body name,Body,"Request ref","Request summary","Receipt date","Complete date","Derived working days","Outcome","Service area"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102176","Various questions regarding allotment sites in redbridge",01/01/2010 00:00:00,28/01/2010 00:00:00,18,"Information Provided","Culture, Sport & Community Learning (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102177","Various questions on Redbridge Life",04/01/2010 00:00:00,25/01/2010 00:00:00,15,"Information Provided","Corporate Communications (Customer Service & Performance)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102182","Various questions on child protectioncases /adoption/lists passed to hospitals/Ofsted inspection/CRB check",04/01/2010 00:00:00,01/02/2010 00:00:00,20,"Partial information provided, rest not held","Childrens Trust (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102180","Additional information in addition to that provided in 102050 - list of every third pasrty council has spent money with",04/01/2010 00:00:00,03/02/2010 00:00:00,22,"Information Provided","Financial Services (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102179","Used of outside organisations for advice on FOI/DP and EIR",04/01/2010 00:00:00,06/01/2010 00:00:00,2,"Information Provided","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102181","Name of ICT Head/address/ICT strategy",04/01/2010 00:00:00,15/01/2010 00:00:00,9,"Information Provided","Information & Communication Technology (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102183","Various questions on staff away days for last 4 years",05/01/2010 00:00:00,07/01/2010 00:00:00,2,"Partial Information Provided","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102185","Number of domestic/residential properties in conservations areas",06/01/2010 00:00:00,13/01/2010 00:00:00,5,"Information Provided","Planning and Regeneration (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102186","Budget on HIV/AIDS and how monies spent",07/01/2010 00:00:00,10/02/2010 00:00:00,24,"Information Provided","Adult Social Services (Adult Social Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102188","Names and addresses of all premises who have been issued with a license to provide live music.",07/01/2010 00:00:00,05/02/2010 00:00:00,21,"Information Provided","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102190","request for details of premises that currently hold a licence to sell alcohol past 1 a.m.",11/01/2010 00:00:00,05/02/2010 00:00:00,19,"Information Provided","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102192","How many ASBOS since 1998/breached",11/01/2010 00:00:00,09/02/2010 00:00:00,21,"Information not held","Community Safety (Environment & Regeneration)"
