RFI102176|"Various questions regarding allotment sites in redbridge"
RFI102177|"Various questions on Redbridge Life"
RFI102182|"Various questions on child protectioncases /adoption/lists passed to hospitals/Ofsted inspection/CRB check"
RFI102180|"Additional information in addition to that provided in 102050 - list of every third pasrty council has spent money with"
RFI102179|"Used of outside organisations for advice on FOI/DP and EIR"
RFI102181|"Name of ICT Head/address/ICT strategy"
RFI102183|"Various questions on staff away days for last 4 years"
RFI102185|"Number of domestic/residential properties in conservations areas"
RFI102186|"Budget on HIV/AIDS and how monies spent"
RFI102188|"Names and addresses of all premises who have been issued with a license to provide live music."
RFI102190|"request for details of premises that currently hold a licence to sell alcohol past 1 a.m."
RFI102192|"How many ASBOS since 1998/breached"
RFI102191|"Number of tower blocks/risk assessments/less than 10 storeys"
RFI102189|"Data requested on mobile and landline communications."
RFI102194|"Copies of correspondence between London Marathon Ltd and London Marathon Charitable Trust plus hospitality provided re above."
RFI102193|"info re authorityï¿½s provisions for helping home owners who need permanent care to access support that can prevent them having to sell their properties before they die."
RFI102195|"LBR applications for funds from London Marathon Charitable Trust"
RFI102196|"Use of RIPA since 2000"
RFI102197|"Every instance when RIPA used and details of the job position permitted to use this."
RFI102198|"Do LBR use Audit Tool/Dignity in Care campaign"
RFI102201|"Basic commectivity for Wide Area Network Services/due for renewal/highspeed sites/integrate network/data centres used/colocation services"
RFI102200|"Questions on municipal funerals and number of public cemeteries"
RFI102199|"How many children placed for adoption/disrupted adoptions/adoption breakdowns"
RFI102259|"Copies of committal hearings for council tax in force since 1.1.2000/changes/amendments/revisions and documentation relating to changes.  Item 75 Data Protection Act - give details of when procedure introduced/changes/amendments/current procedures as at 6.12.07."
RFI102202|"Information on RIPA requests in 2009"
RFI102204|"Various questions on consultation into the Draft Mayor of London Transport Strategy"
RFI102203|"Various questions on electoral roll"
RFI102205|"Details accounts for running of Home Ownership Team"
RFI102206|"Questions about halal food in Cleveland Junior school"
RFI102207|"Contracts awarded to Robust Training and Ruskin Private Hire.  Length of contract/sum involved/any withdrawal"
RFI102208|"Questions re parking ticket received by applicant"
RFI102210|"Various questions on 100 most recent FOI requests, i.e. met/not met/rejected"
RFI102209|"Questions on road works carried by by LBR in 2008/09."
RFI102211|"Various questions about the Council's LADO and racist incident report logs."
RFI102212|"Addresses of empty residential properties"
RFI102213|"Statistics of useage of Local Studies Library and total number of enquiries"
RFI102214|"Criminal convictions of drivers granted a licence by LBR to drive taxis"
RFI102215|"Various questions to do with ICT spend within the concil"
RFI102216|"Questions on campaign to vilify Graham Badman/inundate DCSF with FOI enquiries"
RFI102218|"Copy of TMA Account/Parking Report for 2008/9"
RFI102245|"Requesting a copy of a photograph of someonw who has a personal licence with the authority, following an allegation of an assault on Christmas Day"
RFI102219|"Questions regarding stray dogs"
RFI102217|"Documents held regarding appointment of K to board of Redbridge Homes."
RFI102232|"Information on implementation of approved traffic schemes"
RFI102220|"Redbridges full policy on giving PCNs for a vehicle obstructing footway crossing."
RFI102229|"Request for statistics of how many commercial dog breeders have licence under the Breeding & Sale of Dogs (Welfare) Act?"
RFI102222|"Request for structure charts"
RFI102221|"Information about microchips in wheelie bins"
RFI102225|"Request for information on street names"
RFI102224|"Information about payroll and HR services"
RFI102223|"Number of questions regarding IT including number of employees in the Council and costs."
RFI102230|"Information on vandalism of parking meters"
RFI102233|"Information regarding CCTV cameras"
RFI102227|"Information on Smartcard use"
RFI102228|"information on smoking ban inspections"
RFI102231|"Please provide details of the body (whether within the council or external) that oversees remuneration or compensation packages for higher level staff.   Also, please provide the names of the people who serve on that body, and any contemporaneous employment they may hold within the council.  I am requesting information covering the last three financial years."
RFI102226|"A list of the suppliers for the financial year 2008-2009 on catering services (including till systems for canteens) including schools, libraries etc. (any local authority service).  2.       Where possible, the amount of money spent with each of these suppliers during this financial year."
RFI102234|"Details of salary scales expenses and benefits - staff and Councillors"
RFI102235|"any records that would show the private equity and venture capital investment of London Borough of Redbridge."
RFI102252|"I would like to know how much money was secured as part of the negotiations with the developer and what are the caveats and conditions linked to the agreement, together with whether any money has been committed or spent at this stage.  A link to the relevant documents would be helpful. see attachment"
RFI102236|"Please supply the expiry date of your current archive / offsite storage contract along with the current supplier / warehouse provider for that contract."
RFI102237|"send me the nursery roll for the following schools for the past 2 years (or 3 years if possible). If you have the count at May (or if not at January):    Wells Primary St Antonyï¿½s Churchfields"
RFI102261|"Information regarding primary and secondary school places"
RFI102240|"Information regarding disciplinary actions 2006/7 to date."
RFI102238|"Information on procurement practices"
RFI102239|"how many children in our area have gone from care into custody in the last three years, and what measures the local authority has put in place to better support the kids in their care."
RFI102243|"Details of any hospitality received by the Chief Executive and Leader of the council, covering the time period of the last three years."
RFI102241|"Can you please provide information on how many flights were taken firstly by employees of Redbridge Council and secondly by Redbridge Councillors, from 1st April 2008 to 31st March 2009, to  a)      Destinations in Great Britain and Northern Ireland?  b)      Destinations within Europe, outside of Great Britain and Northern Ireland?  c)      Destinations outside of Europe?   For each category above, please could you breakdown the totals by specific destination, for example: Edinburgh 7, Glasgow 5, Manchester 8 etc."
RFI102244|"information on schemes for targets/bonuses etc in relation to recovery of council tax  and NNDR that apply to staff in payments and benefits."
RFI102246|". Please can you forward me a copy of your most recent Childcare Sufficiency Assessment which has been carried out in order to identify the supply and demand for childcare in your local authority."
RFI102242|"1. How many schools in your area have installed metal detectors? (Please give a number)     2. How many schools in your area have installed panic buttons? (Please give a number)     3. Over the 2008/9 academic year, how many incidents were there where schools confiscated offensive weapons from pupils? (Please give a number)     4. How many schools used a private security firm in the 2008/9 academic year? (Please give a number)"
RFI102248|"Home educated children were subject to a child protection plan/total number of children/formerly on child protection register."
RFI102247|"salary grades/scales of your Geographic Information Systems staff in the relevant posts below:- a) GIS Manager, b) GIS Supervisor c) GIS Project Co-ordinator, d) GIS Officers/Technicians, e) LPG Custodian, f) Street Naming and Numbering Officer.  In addition, I would be grateful if you could provide a copy of your current pay rates relating to the appropriate grades/scales."
RFI102250|"External and internal award schemes the council or council staff have applied for during 2009"
RFI102249|"Types of equipment used to control parking spaces"
RFI102320|"Information about PCN and parking regulations"
RFI102251|"Request for copy of photo on personal licence"
